,Type,precision,recall,fbeta
49,relationship : Not-in-family,0.46408839779005523,0.509090909090909,0.4855491329479769
50,relationship : Unmarried,0.4583333333333333,0.44,0.4489795918367347
51,relationship : Other-relative,0.2222222222222222,0.2857142857142857,0.25
52,relationship : Wife,0.6363636363636364,0.6805555555555556,0.6577181208053691
53,race : Amer-Indian-Eskimo,0.38461538461538464,0.5,0.4347826086956522
54,race : Black,0.5161290322580645,0.5161290322580645,0.5161290322580645
55,race : White,0.6182432432432432,0.6466431095406361,0.6321243523316062
56,race : Asian-Pac-Islander,0.5945945945945946,0.676923076923077,0.6330935251798562
57,race : Other,0.6666666666666666,0.5714285714285714,0.6153846153846153
58,sex : Male,0.619322278298486,0.6487915407854985,0.6337144964957581
59,sex : Female,0.5685483870967742,0.6,0.5838509316770186
60,native-country : United-States,0.6206896551724138,0.6410614525139665,0.6307110958433528
61,native-country : ?,0.7,0.7241379310344828,0.711864406779661
62,native-country : India,0.7857142857142857,0.9166666666666666,0.8461538461538461
63,native-country : Mexico,0.3076923076923077,0.6666666666666666,0.42105263157894735
64,native-country : China,0.4,0.6666666666666666,0.5
65,native-country : Hong,1.0,0.0,0.0
66,native-country : Germany,0.375,0.5,0.42857142857142855
67,native-country : South,0.2857142857142857,0.6666666666666666,0.4
68,native-country : Puerto-Rico,0.4,0.6666666666666666,0.5
69,native-country : Cuba,0.6666666666666666,1.0,0.8
70,native-country : Japan,0.2857142857142857,0.6666666666666666,0.4
71,native-country : Peru,1.0,1.0,1.0
72,native-country : Vietnam,0.5,1.0,0.6666666666666666
73,native-country : Jamaica,0.5,0.25,0.3333333333333333
74,native-country : France,1.0,0.5,0.6666666666666666
75,native-country : England,0.2857142857142857,0.4,0.3333333333333333
76,native-country : Philippines,0.7692307692307693,0.625,0.6896551724137931
77,native-country : Haiti,1.0,0.0,0.0
78,native-country : Portugal,0.0,1.0,0.0
79,native-country : Canada,0.4444444444444444,0.6666666666666666,0.5333333333333333
80,native-country : Scotland,1.0,1.0,1.0
81,native-country : Taiwan,0.5,0.6666666666666666,0.5714285714285715
82,native-country : Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
83,native-country : Greece,0.6666666666666666,1.0,0.8
84,native-country : Poland,0.0,0.0,0.0
85,native-country : El-Salvador,1.0,1.0,1.0
86,native-country : Guatemala,1.0,1.0,1.0
87,native-country : Columbia,0.0,0.0,0.0
88,native-country : Laos,0.0,1.0,0.0
89,native-country : Nicaragua,1.0,1.0,1.0
90,native-country : Ecuador,0.0,1.0,0.0
91,native-country : Italy,0.5,0.5,0.5
92,native-country : Dominican-Republic,1.0,1.0,1.0
93,native-country : Thailand,1.0,1.0,1.0
94,native-country : Iran,0.3333333333333333,0.5,0.4
95,native-country : Cambodia,1.0,0.3333333333333333,0.5
96,native-country : Trinadad&Tobago,1.0,1.0,1.0
97,native-country : Yugoslavia,1.0,1.0,1.0
98,native-country : Hungary,1.0,1.0,1.0
99,native-country : Ireland,1.0,1.0,1.0
100,native-country : Honduras,1.0,1.0,1.0
